t,E_tot,E_x,E_y,proj_bx
1.24600000e+01,6.89681503e-08,4.24891777e-12,6.89639013e-08,2.93441926e-09
1.24700000e+01,6.88714275e-08,4.25455338e-12,6.88671730e-08,2.93536480e-09
1.24800000e+01,6.81695120e-08,4.26081525e-12,6.81652512e-08,2.93631393e-09
1.24900000e+01,6.69131621e-08,4.26760850e-12,6.69088945e-08,2.93729393e-09
1.25000000e+01,6.51795568e-08,4.27481769e-12,6.51752820e-08,2.93833280e-09
1.25100000e+01,6.30713922e-08,4.28231023e-12,6.30671099e-08,2.93945907e-09
1.25200000e+01,6.07149748e-08,4.28994103e-12,6.07106849e-08,2.94070142e-09
1.25300000e+01,5.82573104e-08,4.29755793e-12,5.82530129e-08,2.94208846e-09
1.25400000e+01,5.58622255e-08,4.30500808e-12,5.58579205e-08,2.94364841e-09
1.25500000e+01,5.37055962e-08,4.31214476e-12,5.37012841e-08,2.94540875e-09
1.25600000e+01,5.19697985e-08,4.31883473e-12,5.19654796e-08,2.94739594e-09
1.25700000e+01,5.08375285e-08,4.32496556e-12,5.08332036e-08,2.94963511e-09
1.25800000e+01,5.04851790e-08,4.33045281e-12,5.04808486e-08,2.95214971e-09
1.25900000e+01,5.10759833e-08,4.33524676e-12,5.10716481e-08,2.95496122e-09
1.26000000e+01,5.27531650e-08,4.33933819e-12,5.27488256e-08,2.95808885e-09
1.26100000e+01,5.56333469e-08,4.34276320e-12,5.56290042e-08,2.96154920e-09
1.26200000e+01,5.98004812e-08,4.34560645e-12,5.97961356e-08,2.96535605e-09
1.26300000e+01,6.53005612e-08,4.34800282e-12,6.52962132e-08,2.96952005e-09
1.26400000e+01,7.21373669e-08,4.35013718e-12,7.21330168e-08,2.97404846e-09
1.26500000e+01,8.02694738e-08,4.35224210e-12,8.02651216e-08,2.97894499e-09
1.26600000e+01,8.96087250e-08,4.35459338e-12,8.96043704e-08,2.98420953e-09
1.26700000e+01,1.00020327e-07,4.35750354e-12,1.00015969e-07,2.98983806e-09
1.26800000e+01,1.11324679e-07,4.36131314e-12,1.11320318e-07,2.99582242e-09
1.26900000e+01,1.23300996e-07,4.36638025e-12,1.23296629e-07,3.00215032e-09
1.27000000e+01,1.35692707e-07,4.37306824e-12,1.35688334e-07,3.00880517e-09
1.27100000e+01,1.48214575e-07,4.38173220e-12,1.48210193e-07,3.01576612e-09
1.27200000e+01,1.60561367e-07,4.39270454e-12,1.60556974e-07,3.02300804e-09
1.27300000e+01,1.72417901e-07,4.40627999e-12,1.72413495e-07,3.03050157e-09
1.27400000e+01,1.83470162e-07,4.42270088e-12,1.83465740e-07,3.03821324e-09
1.27500000e+01,1.93417172e-07,4.44214298e-12,1.93412730e-07,3.04610557e-09
1.27600000e+01,2.01983224e-07,4.46470271e-12,2.01978759e-07,3.05413729e-09
1.27700000e+01,2.08930051e-07,4.49038620e-12,2.08925560e-07,3.06226351e-09
1.27800000e+01,2.14068483e-07,4.51910087e-12,2.14063964e-07,3.07043605e-09
1.27900000e+01,2.17269114e-07,4.55065005e-12,2.17264564e-07,3.07860368e-09
1.28000000e+01,2.18471531e-07,4.58473107e-12,2.18466946e-07,3.08671251e-09
1.28100000e+01,2.17691640e-07,4.62093726e-12,2.17687019e-07,3.09470636e-09
1.28200000e+01,2.15026715e-07,4.65876413e-12,2.15022056e-07,3.10252718e-09
1.28300000e+01,2.10657792e-07,4.69761975e-12,2.10653094e-07,3.11011550e-09
1.28400000e+01,2.04849149e-07,4.73683952e-12,2.04844412e-07,3.11741095e-09
1.28500000e+01,1.97944690e-07,4.77570491e-12,1.97939914e-07,3.12435273e-09
1.28600000e+01,1.90361126e-07,4.81346602e-12,1.90356313e-07,3.13088017e-09
1.28700000e+01,1.82578009e-07,4.84936735e-12,1.82573160e-07,3.13693328e-09
1.28800000e+01,1.75124738e-07,4.88267614e-12,1.75119855e-07,3.14245334e-09
1.28900000e+01,1.68564820e-07,4.91271235e-12,1.68559908e-07,3.14738347e-09
1.29000000e+01,1.63477770e-07,4.93887955e-12,1.63472832e-07,3.15166923e-09
1.29100000e+01,1.60439149e-07,4.96069536e-12,1.60434188e-07,3.15525920e-09
1.29200000e+01,1.59999346e-07,4.97782052e-12,1.59994368e-07,3.15810559e-09
1.29300000e+01,1.62661811e-07,4.99008534e-12,1.62656821e-07,3.16016479e-09
1.29400000e+01,1.68861487e-07,4.99751227e-12,1.68856490e-07,3.16139795e-09
1.29500000e+01,1.78944265e-07,5.00033350e-12,1.78939265e-07,3.16177154e-09
1.29600000e+01,1.93148290e-07,4.99900263e-12,1.93143291e-07,3.16125782e-09
1.29700000e+01,2.11587942e-07,4.99419929e-12,2.11582948e-07,3.15983534e-09
1.29800000e+01,2.34241269e-07,4.98682611e-12,2.34236283e-07,3.15748942e-09
1.29900000e+01,2.60941585e-07,4.97799750e-12,2.60936607e-07,3.15421249e-09
1.30000000e+01,2.91373831e-07,4.96901986e-12,2.91368862e-07,3.15000448e-09
1.30100000e+01,3.25076191e-07,4.96136338e-12,3.25071229e-07,3.14487311e-09
1.30200000e+01,3.61447237e-07,4.95662566e-12,3.61442281e-07,3.13883415e-09
1.30300000e+01,3.99758779e-07,4.95648774e-12,3.99753823e-07,3.13191153e-09
1.30400000e+01,4.39174302e-07,4.96266362e-12,4.39169339e-07,3.12413755e-09
1.30500000e+01,4.78772737e-07,4.97684443e-12,4.78767760e-07,3.11555283e-09
1.30600000e+01,5.17577053e-07,5.00063878e-12,5.17572052e-07,3.10620633e-09
1.30700000e+01,5.54586952e-07,5.03551122e-12,5.54581917e-07,3.09615524e-09
1.30800000e+01,5.88814756e-07,5.08272067e-12,5.88809673e-07,3.08546478e-09
1.30900000e+01,6.19323380e-07,5.14326104e-12,6.19318237e-07,3.07420792e-09
1.31000000e+01,6.45265146e-07,5.21780630e-12,6.45259928e-07,3.06246511e-09
1.31100000e+01,6.65920049e-07,5.30666228e-12,6.65914743e-07,3.05032379e-09
1.31200000e+01,6.80732040e-07,5.40972722e-12,6.80726630e-07,3.03787792e-09
1.31300000e+01,6.89341831e-07,5.52646332e-12,6.89336305e-07,3.02522743e-09
1.31400000e+01,6.91614777e-07,5.65588099e-12,6.91609121e-07,3.01247753e-09
1.31500000e+01,6.87662446e-07,5.79653720e-12,6.87656650e-07,2.99973805e-09
1.31600000e+01,6.77856652e-07,5.94654913e-12,6.77850706e-07,2.98712263e-09
1.31700000e+01,6.62834876e-07,6.10362377e-12,6.62828772e-07,2.97474788e-09
1.31800000e+01,6.43496293e-07,6.26510338e-12,6.43490027e-07,2.96273248e-09
1.31900000e+01,6.20987869e-07,6.42802667e-12,6.20981441e-07,2.95119626e-09
1.32000000e+01,5.96680357e-07,6.58920437e-12,5.96673767e-07,2.94025918e-09
1.32100000e+01,5.72134348e-07,6.74530783e-12,5.72127602e-07,2.93004032e-09
1.32200000e+01,5.49056948e-07,6.89296831e-12,5.49050055e-07,2.92065682e-09
1.32300000e+01,5.29250011e-07,7.02888438e-12,5.29242982e-07,2.91222282e-09
1.32400000e+01,5.14551239e-07,7.14993415e-12,5.14544090e-07,2.90484836e-09
1.32500000e+01,5.06769841e-07,7.25328888e-12,5.06762588e-07,2.89863832e-09
1.32600000e+01,5.07618723e-07,7.33652399e-12,5.07611386e-07,2.89369131e-09
1.32700000e+01,5.18645487e-07,7.39772359e-12,5.18638089e-07,2.89009864e-09
1.32800000e+01,5.41164700e-07,7.43557439e-12,5.41157265e-07,2.88794329e-09
1.32900000e+01,5.76194025e-07,7.44944496e-12,5.76186575e-07,2.88729891e-09
1.33000000e+01,6.24396843e-07,7.43944687e-12,6.24389404e-07,2.88822888e-09
1.33100000e+01,6.86033967e-07,7.40647406e-12,6.86026561e-07,2.89078543e-09
1.33200000e+01,7.60926847e-07,7.35221806e-12,7.60919495e-07,2.89500884e-09
1.33300000e+01,8.48434462e-07,7.27915658e-12,8.48427182e-07,2.90092667e-09
1.33400000e+01,9.47445708e-07,7.19051459e-12,9.47438518e-07,2.90855317e-09
1.33500000e+01,1.05638867e-06,7.09019715e-12,1.05638158e-06,2.91788868e-09
1.33600000e+01,1.17325763e-06,6.98269489e-12,1.17325065e-06,2.92891919e-09
1.33700000e+01,1.29565804e-06,6.87296351e-12,1.29565117e-06,2.94161604e-09
1.33800000e+01,1.42086912e-06,6.76628010e-12,1.42086235e-06,2.95593569e-09
1.33900000e+01,1.54592296e-06,6.66807990e-12,1.54591629e-06,2.97181961e-09
1.34000000e+01,1.66769845e-06,6.58377799e-12,1.66769187e-06,2.98919435e-09
1.34100000e+01,1.78302752e-06,6.51858144e-12,1.78302100e-06,3.00797171e-09
1.34200000e+01,1.88881067e-06,6.47729793e-12,1.88880419e-06,3.02804904e-09
1.34300000e+01,1.98213824e-06,6.46414756e-12,1.98213178e-06,3.04930971e-09
1.34400000e+01,2.06041332e-06,6.48258463e-12,2.06040684e-06,3.07162369e-09
1.34500000e+01,2.12147175e-06,6.53513663e-12,2.12146521e-06,3.09484828e-09
1.34600000e+01,2.16369479e-06,6.62326705e-12,2.16368817e-06,3.11882899e-09
1.34700000e+01,2.18610963e-06,6.74726858e-12,2.18610288e-06,3.14340053e-09
1.34800000e+01,2.18847321e-06,6.90619242e-12,2.18846630e-06,3.16838796e-09
1.34900000e+01,2.17133506e-06,7.09781844e-12,2.17132796e-06,3.19360789e-09
