# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   63       2.292581955747e-10       3.273572466458e-14      -3.945821505181e-13       1.596835656872e-16       3.129868936803e-11       3.653851071812e-12      -1.084362816118e-14 
   64       2.323475283460e-10       3.428670969777e-14      -4.433461230911e-13       1.648131675347e-16       3.017748102744e-11       3.541543722357e-12      -1.070874832307e-14 
   65       2.354642357638e-10       3.587245592274e-14      -4.937704778546e-13       1.700235112911e-16       2.910501199924e-11       3.433722580549e-12      -1.058748128204e-14 
   66       2.386093323339e-10       3.749227420284e-14      -5.458471901565e-13       1.753145647860e-16       2.808030487703e-11       3.330313456271e-12      -1.048297290290e-14 
   67       2.417842521315e-10       3.914555266666e-14      -5.995805185381e-13       1.806863138996e-16       2.710309614260e-11       3.231339146482e-12      -1.038980512491e-14 
   68       2.449898946291e-10       4.083163496593e-14      -6.549757273524e-13       1.861387508546e-16       2.617214692157e-11       3.136730137133e-12      -1.030166616137e-14 
   69       2.482265879108e-10       4.254982004316e-14      -7.120392046793e-13       1.916718746699e-16       2.528519143269e-11       3.046319597603e-12      -1.021131368458e-14 
   70       2.514940518868e-10       4.429936189923e-14      -7.707785802394e-13       1.972856916149e-16       2.443888543696e-11       2.959838375132e-12      -1.011053801078e-14 
   71       2.547913615078e-10       4.607946936095e-14      -8.312028433087e-13       2.029802156639e-16       2.362875468689e-11       2.876909989259e-12      -9.990125285105e-15 
   72       2.581175350703e-10       4.788926259324e-14      -8.933142674812e-13       2.087554794354e-16       2.285034461455e-11       2.797151500341e-12      -9.842505272881e-15 
   73       2.614735116140e-10       4.972763348795e-14      -9.570821284272e-13       2.146115684313e-16       2.210303943934e-11       2.720509653813e-12      -9.670364942668e-15 
   74       2.648604883754e-10       5.159335793191e-14      -1.022464130862e-12       2.205485942210e-16       2.138688639055e-11       2.646980513374e-12      -9.479629427430e-15 
   75       2.682793071968e-10       5.348513548877e-14      -1.089414086729e-12       2.265666852210e-16       2.070143570744e-11       2.576506759589e-12      -9.276947975721e-15 
