# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   53       1.998593352685e-10       1.921731246208e-14      -6.411926009646e-15       0.000000000000e+00       4.626057002562e-11       5.141716443440e-12      -8.506637674612e-15 
   54       2.026603543949e-10       2.037626083116e-14      -3.692006810690e-14       0.000000000000e+00       4.437590511494e-11       4.954557708144e-12      -8.788330015913e-15 
   55       2.054820816094e-10       2.157468145772e-14      -6.919762528598e-14       0.000000000000e+00       4.259530697603e-11       4.777696202199e-12      -9.196973536666e-15 
   56       2.083279008269e-10       2.281276128168e-14      -1.032793968323e-13       0.000000000000e+00       4.091479409100e-11       4.610747355419e-12      -9.676429254835e-15 
   57       2.112003333564e-10       2.409065992080e-14      -1.392019939131e-13       0.000000000000e+00       3.932688220379e-11       4.452973278347e-12      -1.016110127909e-14 
   58       2.141009603861e-10       2.540850951256e-14      -1.770040005572e-13       0.000000000000e+00       3.782037247976e-11       4.303261295157e-12      -1.057550085665e-14 
   59       2.170307418280e-10       2.676630570177e-14      -2.167148603708e-13       0.000000000000e+00       3.638343035281e-11       4.160426287093e-12      -1.085235154153e-14 
   60       2.199912353704e-10       2.816355139921e-14      -2.583181572952e-13       0.000000000000e+00       3.501413813739e-11       4.024248469963e-12      -1.099280470417e-14 
   61       2.229835240316e-10       2.959952986681e-14      -3.017800769026e-13       0.000000000000e+00       3.371202300467e-11       3.894639107762e-12      -1.101946222436e-14 
   62       2.260077819202e-10       3.107340252861e-14      -3.470597142138e-13       0.000000000000e+00       3.247488352336e-11       3.771327616114e-12      -1.095925353075e-14 
   63       2.290632101562e-10       3.258420512273e-14      -3.941088524998e-13       0.000000000000e+00       3.129868936803e-11       3.653851071812e-12      -1.084362816118e-14 
   64       2.321479727913e-10       3.413084385339e-14      -4.428717420833e-13       0.000000000000e+00       3.017748102744e-11       3.541543722357e-12      -1.070874832307e-14 
   65       2.352601089423e-10       3.571222066516e-14      -4.932970011169e-13       0.000000000000e+00       2.910501199924e-11       3.433722580549e-12      -1.058748128204e-14 
   66       2.384006376488e-10       3.732764854561e-14      -5.453767441874e-13       0.000000000000e+00       2.808030487703e-11       3.330313456271e-12      -1.048297290290e-14 
   67       2.415709979658e-10       3.897651755778e-14      -5.991153695448e-13       0.000000000000e+00       2.710309614260e-11       3.231339146482e-12      -1.038980512491e-14 
   68       2.447720946874e-10       4.065817324710e-14      -6.545182840175e-13       0.000000000000e+00       2.617214692157e-11       3.136730137133e-12      -1.030166616137e-14 
   69       2.480042615742e-10       4.237191640520e-14      -7.115920208897e-13       0.000000000000e+00       2.528519143269e-11       3.046319597603e-12      -1.021131368458e-14 
   70       2.512672245803e-10       4.411700283369e-14      -7.703443577797e-13       0.000000000000e+00       2.443888543696e-11       2.959838375132e-12      -1.011053801078e-14 
   71       2.545600650812e-10       4.589264310799e-14      -8.307844345172e-13       0.000000000000e+00       2.362875468689e-11       2.876909989259e-12      -9.990125285105e-15 
   72       2.578818077086e-10       4.769795899365e-14      -8.929146767046e-13       0.000000000000e+00       2.285034461455e-11       2.797151500341e-12      -9.842505272881e-15 
   73       2.612333962059e-10       4.953184353511e-14      -9.567045096849e-13       0.000000000000e+00       2.210303943934e-11       2.720509653813e-12      -9.670364942668e-15 
   74       2.646160321499e-10       5.139307355910e-14      -1.022111788503e-12       0.000000000000e+00       2.138688639055e-11       2.646980513374e-12      -9.479629427430e-15 
   75       2.680305618180e-10       5.328034943753e-14      -1.089090477130e-12       0.000000000000e+00       2.070143570744e-11       2.576506759589e-12      -9.276947975721e-15 
   76       2.714774536755e-10       5.519229386157e-14      -1.157590579255e-12       0.000000000000e+00       2.004571651400e-11       2.508975101550e-12      -9.069718429025e-15 
   77       2.749567758637e-10       5.712745061584e-14      -1.227558069082e-12       0.000000000000e+00       1.941821269370e-11       2.444213688518e-12      -8.866111699088e-15 
   78       2.784681736873e-10       5.908428335251e-14      -1.298934822115e-12       0.000000000000e+00       1.881683876424e-11       2.381989521583e-12      -8.675096245252e-15 
   79       2.820108471025e-10       6.106117436542e-14      -1.371658545960e-12       0.000000000000e+00       1.823891575226e-11       2.322005865313e-12      -8.506462551796e-15 
   80       2.855839920415e-10       6.305648000668e-14      -1.445667898831e-12       0.000000000000e+00       1.768183596159e-11       2.263976823869e-12      -8.368527701301e-15 
   81       2.891882621792e-10       6.506871071648e-14      -1.520919021044e-12       0.000000000000e+00       1.714524330686e-11       2.207871678924e-12      -8.260736159322e-15 
   82       2.928245211176e-10       6.709638016687e-14      -1.597371761586e-12       0.000000000000e+00       1.662918936152e-11       2.153708458543e-12      -8.179812664677e-15 
   83       2.964933873887e-10       6.913795122208e-14      -1.674984771843e-12       0.000000000000e+00       1.613346690324e-11       2.101479400112e-12      -8.121949802425e-15 
   84       3.001952205318e-10       7.119183576155e-14      -1.753715532458e-12       0.000000000000e+00       1.565759854592e-11       2.051149790968e-12      -8.082789520013e-15 
   85       3.039301071707e-10       7.325639450306e-14      -1.833520380195e-12       0.000000000000e+00       1.520082537178e-11       2.002656809024e-12      -8.057404643426e-15 
   86       3.076978470911e-10       7.532993682573e-14      -1.914354534802e-12       0.000000000000e+00       1.476209556333e-11       1.955908363390e-12      -8.040280393343e-15 
   87       3.114979393178e-10       7.741072059311e-14      -1.996172125870e-12       0.000000000000e+00       1.434005303545e-11       1.910781934997e-12      -8.025295901280e-15 
   88       3.153295681923e-10       7.949695197627e-14      -2.078926219695e-12       0.000000000000e+00       1.393302606741e-11       1.867123417224e-12      -8.005705725747e-15 
   89       3.191919157764e-10       8.158680936588e-14      -2.162567492690e-12       0.000000000000e+00       1.353942510584e-11       1.824785290734e-12      -7.975588667875e-15 
   90       3.230851855754e-10       8.367851979308e-14      -2.247039954564e-12       0.000000000000e+00       1.315903246832e-11       1.783750538066e-12      -7.934494970189e-15 
   91       3.270097144994e-10       8.577029422634e-14      -2.332284600617e-12       0.000000000000e+00       1.279189494911e-11       1.744026121594e-12      -7.883497448527e-15 
   92       3.309656519254e-10       8.786030473099e-14      -2.418240711963e-12       0.000000000000e+00       1.243792749326e-11       1.705604817580e-12      -7.823792537672e-15 
   93       3.349529506626e-10       8.994668465315e-14      -2.504845862113e-12       0.000000000000e+00       1.209690795864e-11       1.668464646078e-12      -7.756703789514e-15 
   94       3.389713579192e-10       9.202752880368e-14      -2.592035923565e-12       0.000000000000e+00       1.176847187780e-11       1.632568300832e-12      -7.683685371219e-15 
   95       3.430204062679e-10       9.410089364216e-14      -2.679745074387e-12       0.000000000000e+00       1.145210721996e-11       1.597862579175e-12      -7.606325563389e-15 
   96       3.470994046125e-10       9.616479746078e-14      -2.767905804798e-12       0.000000000000e+00       1.114714915293e-11       1.564277811933e-12      -7.526350258234e-15 
   97       3.512074291537e-10       9.821722056835e-14      -2.856448923762e-12       0.000000000000e+00       1.085277480501e-11       1.531727293326e-12      -7.445626457731e-15 
   98       3.553433143554e-10       1.002561054742e-13      -2.945303565567e-12       0.000000000000e+00       1.056799802699e-11       1.500106710866e-12      -7.366165771793e-15 
   99       3.595059431607e-10       1.022794039972e-13      -3.034398556995e-12       0.000000000000e+00       1.029189524621e-11       1.469319101823e-12      -7.289720834584e-15 
