t,E_tot,E_x,E_y,proj_bx,C_vx_bx,C_bx_wx,C_vy_by,C_by_wy,D_bx,D_by,Tau_vx,Tau_vy,Tau_bx,Tau_by
3.30000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,8.09941852e-10,3.87734451e-15,-8.14242346e-14,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-9.18747986e-26,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.40000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,8.34485544e-10,3.99483979e-15,-8.38916356e-14,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.46267069e-26,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.50000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,8.59029236e-10,4.11233507e-15,-8.63590365e-14,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-9.91233646e-26,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.60000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,8.83572928e-10,4.22983035e-15,-8.88264374e-14,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.02559026e-25,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.70000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,9.08116620e-10,4.34732563e-15,-9.12938383e-14,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-1.06463109e-25,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.80000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,9.32660313e-10,4.46482092e-15,-9.37612392e-14,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.10172225e-25,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.90000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,9.57204005e-10,4.58231620e-15,-9.62286401e-14,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-1.14213150e-25,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.00000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,9.81747697e-10,4.69981148e-15,-9.86960410e-14,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.17192775e-25,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.10000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.00629139e-09,4.81730676e-15,-1.01163442e-13,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-1.21917604e-25,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.20000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.03083508e-09,4.93480203e-15,-1.03630843e-13,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.24167735e-25,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.30000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.05537877e-09,5.05229731e-15,-1.06098244e-13,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-1.25838236e-25,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.40000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.07992246e-09,5.16979259e-15,-1.08565644e-13,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.26902986e-25,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.50000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.10446616e-09,5.28728787e-15,-1.11033045e-13,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-1.29713282e-25,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.60000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.12900985e-09,5.40478314e-15,-1.13500446e-13,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.30276470e-25,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.70000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.15355354e-09,5.52227842e-15,-1.15967847e-13,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-1.30853035e-25,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.80000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.17809723e-09,5.63977369e-15,-1.18435248e-13,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.30504362e-25,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.90000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.20264092e-09,5.75726897e-15,-1.20902648e-13,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-1.31126613e-25,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.00000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.22718462e-09,5.87476424e-15,-1.23370049e-13,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.30504312e-25,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.10000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.25172831e-09,5.99225952e-15,-1.25837450e-13,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-1.30397252e-25,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.20000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.27627200e-09,6.10975479e-15,-1.28304851e-13,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.30185142e-25,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.30000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.30081569e-09,6.22725006e-15,-1.30772251e-13,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-1.29941422e-25,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.40000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.32535938e-09,6.34474533e-15,-1.33239652e-13,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.27814498e-25,0.00000000e+00,0.00000000e+00,0.00000000e+00
