t,E_tot,E_x,E_y,E_weak,proj_bx,P_tau,W_tau,C_vx_bx,C_bx_wx,C_vy_by,C_by_wy,D_bx,D_by,P_eta_left,P_eta_right,P_eta_total,Tau_vx,Tau_vy,Tau_bx,Tau_by
5.70000000e-02,4.30080000e-08,4.30080000e-08,1.96002363e-33,4.30079961e-08,1.39899034e-09,0.00000000e+00,0.00000000e+00,6.69723057e-15,-1.40641842e-13,-4.98027583e-39,2.98811522e-38,2.41474340e-20,4.72227985e-38,6.36736542e-25,-6.36734489e-25,-1.27347103e-24,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.80000000e-02,4.30080000e-08,4.30080000e-08,2.10127549e-33,4.30079960e-08,1.42353402e-09,0.00000000e+00,0.00000000e+00,6.81472581e-15,-1.43109242e-13,-5.43292645e-39,3.25970113e-38,2.50021764e-20,5.06259454e-38,6.73637280e-25,-6.73634923e-25,-1.34727220e-24,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.90000000e-02,4.30080000e-08,4.30080000e-08,2.25002706e-33,4.30079958e-08,1.44807771e-09,0.00000000e+00,0.00000000e+00,6.93222106e-15,-1.45576642e-13,-5.91790307e-39,3.55068233e-38,2.58717855e-20,5.42097781e-38,7.11926581e-25,-7.11924258e-25,-1.42385084e-24,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.00000000e-02,4.30080000e-08,4.30080000e-08,2.40653920e-33,4.30079957e-08,1.47262140e-09,0.00000000e+00,0.00000000e+00,7.04971631e-15,-1.48044042e-13,-6.43690672e-39,3.86207943e-38,2.67562614e-20,5.79805807e-38,7.51630470e-25,-7.51627818e-25,-1.50325829e-24,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.10000000e-02,4.30080000e-08,4.30080000e-08,2.57107722e-33,4.30079956e-08,1.49716508e-09,0.00000000e+00,0.00000000e+00,7.16721155e-15,-1.50511443e-13,-6.99169711e-39,4.19494824e-38,2.76556041e-20,6.19447451e-38,7.92773705e-25,-7.92771144e-25,-1.58554485e-24,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.20000000e-02,4.30080000e-08,4.30080000e-08,2.74391089e-33,4.30079954e-08,1.52170877e-09,0.00000000e+00,0.00000000e+00,7.28470679e-15,-1.52978843e-13,-7.58409354e-39,4.55038032e-38,2.85698137e-20,6.61087704e-38,8.35382427e-25,-8.35379461e-25,-1.67076189e-24,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.30000000e-02,4.30080000e-08,4.30080000e-08,2.92531443e-33,4.30079953e-08,1.54625246e-09,0.00000000e+00,0.00000000e+00,7.40220204e-15,-1.55446243e-13,-8.21597598e-39,4.92950363e-38,2.94988902e-20,7.04792630e-38,8.79481212e-25,-8.79478417e-25,-1.75895963e-24,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.40000000e-02,4.30080000e-08,4.30080000e-08,3.11556655e-33,4.30079951e-08,1.57079614e-09,0.00000000e+00,0.00000000e+00,7.51969728e-15,-1.57913643e-13,-8.88928598e-39,5.33348310e-38,3.04428338e-20,7.50629369e-38,9.25096467e-25,-9.25093154e-25,-1.85018962e-24,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.50000000e-02,4.30080000e-08,4.30080000e-08,3.31495039e-33,4.30079950e-08,1.59533983e-09,0.00000000e+00,0.00000000e+00,7.63719252e-15,-1.60381043e-13,-9.60602774e-39,5.76352123e-38,3.14016444e-20,7.98666135e-38,9.72252443e-25,-9.72249395e-25,-1.94450184e-24,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.60000000e-02,4.30080000e-08,4.30080000e-08,3.52375354e-33,4.30079948e-08,1.61988352e-09,0.00000000e+00,0.00000000e+00,7.75468776e-15,-1.62848443e-13,-1.03682690e-38,6.22085865e-38,3.23753221e-20,8.48972214e-38,1.02097579e-24,-1.02097216e-24,-2.04194795e-24,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
