t,E_tot,E_x,E_y,E_weak,proj_bx,P_tau,W_tau,C_vx_bx,C_bx_wx,C_vy_by,C_by_wy,D_bx,D_by,Tau_vx,Tau_vy,Tau_bx,Tau_by
3.60000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079984e-08,8.83572880e-10,0.00000000e+00,0.00000000e+00,4.22983012e-15,-8.88264326e-14,0.00000000e+00,0.00000000e+00,9.63151300e-21,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.70000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079984e-08,9.08116570e-10,0.00000000e+00,0.00000000e+00,4.34732539e-15,-9.12938332e-14,0.00000000e+00,0.00000000e+00,1.01740287e-20,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.80000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079983e-08,9.32660259e-10,0.00000000e+00,0.00000000e+00,4.46482066e-15,-9.37612339e-14,0.00000000e+00,0.00000000e+00,1.07314079e-20,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.90000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079982e-08,9.57203948e-10,0.00000000e+00,0.00000000e+00,4.58231593e-15,-9.62286345e-14,0.00000000e+00,0.00000000e+00,1.13036505e-20,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.00000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079981e-08,9.81747638e-10,0.00000000e+00,0.00000000e+00,4.69981119e-15,-9.86960350e-14,0.00000000e+00,0.00000000e+00,1.18907566e-20,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.10000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079980e-08,1.00629133e-09,0.00000000e+00,0.00000000e+00,4.81730646e-15,-1.01163436e-13,0.00000000e+00,0.00000000e+00,1.24927261e-20,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.20000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079979e-08,1.03083502e-09,0.00000000e+00,0.00000000e+00,4.93480172e-15,-1.03630836e-13,0.00000000e+00,0.00000000e+00,1.31095591e-20,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.30000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079978e-08,1.05537870e-09,0.00000000e+00,0.00000000e+00,5.05229699e-15,-1.06098237e-13,0.00000000e+00,0.00000000e+00,1.37412555e-20,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.40000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079977e-08,1.07992239e-09,0.00000000e+00,0.00000000e+00,5.16979225e-15,-1.08565637e-13,0.00000000e+00,0.00000000e+00,1.43878153e-20,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.50000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079976e-08,1.10446608e-09,0.00000000e+00,0.00000000e+00,5.28728751e-15,-1.11033038e-13,0.00000000e+00,0.00000000e+00,1.50492386e-20,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.60000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079975e-08,1.12900977e-09,0.00000000e+00,0.00000000e+00,5.40478277e-15,-1.13500438e-13,0.00000000e+00,0.00000000e+00,1.57255253e-20,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.70000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079974e-08,1.15355346e-09,0.00000000e+00,0.00000000e+00,5.52227803e-15,-1.15967839e-13,0.00000000e+00,0.00000000e+00,1.64166754e-20,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.80000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079972e-08,1.17809715e-09,0.00000000e+00,0.00000000e+00,5.63977329e-15,-1.18435239e-13,0.00000000e+00,0.00000000e+00,1.71226890e-20,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.90000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079971e-08,1.20264084e-09,0.00000000e+00,0.00000000e+00,5.75726854e-15,-1.20902639e-13,0.00000000e+00,0.00000000e+00,1.78435660e-20,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.00000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079970e-08,1.22718452e-09,0.00000000e+00,0.00000000e+00,5.87476380e-15,-1.23370040e-13,0.00000000e+00,0.00000000e+00,1.85793065e-20,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.10000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079969e-08,1.25172821e-09,0.00000000e+00,0.00000000e+00,5.99225906e-15,-1.25837440e-13,0.00000000e+00,0.00000000e+00,1.93299104e-20,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.20000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079968e-08,1.27627190e-09,0.00000000e+00,0.00000000e+00,6.10975431e-15,-1.28304841e-13,0.00000000e+00,0.00000000e+00,2.00953778e-20,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.30000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079966e-08,1.30081559e-09,0.00000000e+00,0.00000000e+00,6.22724956e-15,-1.30772241e-13,0.00000000e+00,0.00000000e+00,2.08757085e-20,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.40000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079965e-08,1.32535927e-09,0.00000000e+00,0.00000000e+00,6.34474482e-15,-1.33239641e-13,0.00000000e+00,0.00000000e+00,2.16709028e-20,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.50000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079964e-08,1.34990296e-09,0.00000000e+00,0.00000000e+00,6.46224007e-15,-1.35707041e-13,0.00000000e+00,0.00000000e+00,2.24809604e-20,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.60000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079963e-08,1.37444665e-09,0.00000000e+00,0.00000000e+00,6.57973532e-15,-1.38174442e-13,0.00000000e+00,0.00000000e+00,2.33058815e-20,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
