t,E_tot,E_x,E_y,proj_bx,C_vx_bx,C_bx_wx,C_vy_by,C_by_wy,D_bx,D_by,P_eta_left,P_eta_right,P_eta_total,Tau_vx,Tau_vy,Tau_bx,Tau_by
2.90000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.42353405e-09,1.36294519e-14,-2.86218489e-13,0.00000000e+00,0.00000000e+00,4.00005036e-20,0.00000000e+00,4.01971914e-33,2.08187248e-22,2.08187248e-22,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.00000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.47262142e-09,1.40994329e-14,-2.96088090e-13,0.00000000e+00,0.00000000e+00,4.28067218e-20,0.00000000e+00,4.43904207e-33,2.22792534e-22,2.22792534e-22,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.10000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.52170880e-09,1.45694139e-14,-3.05957691e-13,0.00000000e+00,0.00000000e+00,4.57080659e-20,0.00000000e+00,4.88941018e-33,2.37892916e-22,2.37892916e-22,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.20000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.57079617e-09,1.50393948e-14,-3.15827292e-13,0.00000000e+00,0.00000000e+00,4.87045361e-20,0.00000000e+00,5.45477282e-33,2.53488391e-22,2.53488391e-22,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.30000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.61988355e-09,1.55093758e-14,-3.25696892e-13,0.00000000e+00,0.00000000e+00,5.17961322e-20,0.00000000e+00,6.02681351e-33,2.69578961e-22,2.69578961e-22,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.40000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.66897092e-09,1.59793568e-14,-3.35566492e-13,0.00000000e+00,0.00000000e+00,5.49828544e-20,0.00000000e+00,6.61448439e-33,2.86164625e-22,2.86164625e-22,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.50000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.71805830e-09,1.64493377e-14,-3.45436093e-13,0.00000000e+00,0.00000000e+00,5.82647025e-20,0.00000000e+00,7.18589087e-33,3.03245383e-22,3.03245383e-22,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.60000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.76714567e-09,1.69193187e-14,-3.55305692e-13,0.00000000e+00,0.00000000e+00,6.16416767e-20,0.00000000e+00,7.87810392e-33,3.20821235e-22,3.20821235e-22,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.70000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.81623304e-09,1.73892996e-14,-3.65175292e-13,0.00000000e+00,0.00000000e+00,6.51137768e-20,0.00000000e+00,8.55435948e-33,3.38892182e-22,3.38892182e-22,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.80000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.86532042e-09,1.78592805e-14,-3.75044891e-13,0.00000000e+00,0.00000000e+00,6.86810029e-20,0.00000000e+00,9.21206854e-33,3.57458223e-22,3.57458223e-22,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.90000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.91440779e-09,1.83292615e-14,-3.84914491e-13,0.00000000e+00,0.00000000e+00,7.23433550e-20,0.00000000e+00,1.01778539e-32,3.76519358e-22,3.76519358e-22,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.00000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,1.96349516e-09,1.87992424e-14,-3.94784090e-13,0.00000000e+00,0.00000000e+00,7.61008330e-20,0.00000000e+00,1.11602208e-32,3.96075587e-22,3.96075587e-22,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.10000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.01258253e-09,1.92692233e-14,-4.04653688e-13,0.00000000e+00,0.00000000e+00,7.99534371e-20,0.00000000e+00,1.20490751e-32,4.16126910e-22,4.16126910e-22,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.20000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.06166990e-09,1.97392041e-14,-4.14523287e-13,0.00000000e+00,0.00000000e+00,8.39011671e-20,0.00000000e+00,1.28129386e-32,4.36673328e-22,4.36673328e-22,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.30000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.11075727e-09,2.02091850e-14,-4.24392885e-13,0.00000000e+00,0.00000000e+00,8.79440231e-20,0.00000000e+00,1.36897728e-32,4.57714839e-22,4.57714839e-22,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.40000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.15984464e-09,2.06791659e-14,-4.34262483e-13,0.00000000e+00,0.00000000e+00,9.20820050e-20,0.00000000e+00,1.46339288e-32,4.79251445e-22,4.79251445e-22,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.50000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.20893201e-09,2.11491467e-14,-4.44132081e-13,0.00000000e+00,0.00000000e+00,9.63151129e-20,0.00000000e+00,1.54932493e-32,5.01283145e-22,5.01283145e-22,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.60000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.25801938e-09,2.16191276e-14,-4.54001679e-13,0.00000000e+00,0.00000000e+00,1.00643347e-19,0.00000000e+00,1.64330480e-32,5.23809938e-22,5.23809938e-22,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.70000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.30710675e-09,2.20891084e-14,-4.63871276e-13,0.00000000e+00,0.00000000e+00,1.05066707e-19,0.00000000e+00,1.74631050e-32,5.46831826e-22,5.46831826e-22,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.80000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.35619411e-09,2.25590892e-14,-4.73740873e-13,0.00000000e+00,0.00000000e+00,1.09585192e-19,0.00000000e+00,1.84130488e-32,5.70348808e-22,5.70348808e-22,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.90000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.40528148e-09,2.30290700e-14,-4.83610470e-13,0.00000000e+00,0.00000000e+00,1.14198804e-19,0.00000000e+00,1.93319539e-32,5.94360884e-22,5.94360884e-22,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.00000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.45436885e-09,2.34990508e-14,-4.93480066e-13,0.00000000e+00,0.00000000e+00,1.18907542e-19,0.00000000e+00,2.03947931e-32,6.18868054e-22,6.18868054e-22,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.10000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.50345621e-09,2.39690315e-14,-5.03349662e-13,0.00000000e+00,0.00000000e+00,1.23711405e-19,0.00000000e+00,2.15924696e-32,6.43870317e-22,6.43870317e-22,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.20000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.55254358e-09,2.44390123e-14,-5.13219258e-13,0.00000000e+00,0.00000000e+00,1.28610395e-19,0.00000000e+00,2.30440098e-32,6.69367675e-22,6.69367675e-22,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.30000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.60163094e-09,2.49089931e-14,-5.23088854e-13,0.00000000e+00,0.00000000e+00,1.33604510e-19,0.00000000e+00,2.42212650e-32,6.95360127e-22,6.95360127e-22,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.40000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.65071831e-09,2.53789738e-14,-5.32958449e-13,0.00000000e+00,0.00000000e+00,1.38693752e-19,0.00000000e+00,2.62160759e-32,7.21847672e-22,7.21847672e-22,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.50000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.69980567e-09,2.58489545e-14,-5.42828045e-13,0.00000000e+00,0.00000000e+00,1.43878119e-19,0.00000000e+00,2.78041044e-32,7.48830312e-22,7.48830312e-22,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.60000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.74889304e-09,2.63189352e-14,-5.52697639e-13,0.00000000e+00,0.00000000e+00,1.49157612e-19,0.00000000e+00,2.96102221e-32,7.76308045e-22,7.76308045e-22,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.70000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.79798040e-09,2.67889159e-14,-5.62567234e-13,0.00000000e+00,0.00000000e+00,1.54532232e-19,0.00000000e+00,3.14203526e-32,8.04280872e-22,8.04280872e-22,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.80000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.84706776e-09,2.72588966e-14,-5.72436828e-13,0.00000000e+00,0.00000000e+00,1.60001977e-19,0.00000000e+00,3.29988112e-32,8.32748793e-22,8.32748793e-22,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.90000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.89615512e-09,2.77288772e-14,-5.82306422e-13,0.00000000e+00,0.00000000e+00,1.65566848e-19,0.00000000e+00,3.52729109e-32,8.61711808e-22,8.61711808e-22,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.00000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.94524248e-09,2.81988579e-14,-5.92176015e-13,0.00000000e+00,0.00000000e+00,1.71226845e-19,0.00000000e+00,3.74069914e-32,8.91169917e-22,8.91169917e-22,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.10000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,2.99432984e-09,2.86688385e-14,-6.02045609e-13,0.00000000e+00,0.00000000e+00,1.76981968e-19,0.00000000e+00,3.93951298e-32,9.21123119e-22,9.21123119e-22,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.20000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,3.04341720e-09,2.91388191e-14,-6.11915202e-13,0.00000000e+00,0.00000000e+00,1.82832216e-19,0.00000000e+00,4.14988743e-32,9.51571415e-22,9.51571415e-22,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.30000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,3.09250456e-09,2.96087997e-14,-6.21784794e-13,0.00000000e+00,0.00000000e+00,1.88777591e-19,0.00000000e+00,4.33628888e-32,9.82514805e-22,9.82514805e-22,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.40000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,3.14159192e-09,3.00787803e-14,-6.31654386e-13,0.00000000e+00,0.00000000e+00,1.94818091e-19,0.00000000e+00,4.51271349e-32,1.01395329e-21,1.01395329e-21,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.50000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,3.19067928e-09,3.05487609e-14,-6.41523978e-13,0.00000000e+00,0.00000000e+00,2.00953718e-19,0.00000000e+00,4.79587241e-32,1.04588687e-21,1.04588687e-21,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.60000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,3.23976664e-09,3.10187414e-14,-6.51393570e-13,0.00000000e+00,0.00000000e+00,2.07184470e-19,0.00000000e+00,4.99364001e-32,1.07831554e-21,1.07831554e-21,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.70000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,3.28885400e-09,3.14887220e-14,-6.61263161e-13,0.00000000e+00,0.00000000e+00,2.13510348e-19,0.00000000e+00,5.19245156e-32,1.11123930e-21,1.11123930e-21,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.80000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,3.33794135e-09,3.19587025e-14,-6.71132752e-13,0.00000000e+00,0.00000000e+00,2.19931352e-19,0.00000000e+00,5.42044557e-32,1.14465816e-21,1.14465816e-21,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.90000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,3.38702871e-09,3.24286830e-14,-6.81002342e-13,0.00000000e+00,0.00000000e+00,2.26447482e-19,0.00000000e+00,5.71255701e-32,1.17857211e-21,1.17857211e-21,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.00000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,3.43611606e-09,3.28986635e-14,-6.90871933e-13,0.00000000e+00,0.00000000e+00,2.33058738e-19,0.00000000e+00,5.99020224e-32,1.21298116e-21,1.21298116e-21,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.10000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,3.48520342e-09,3.33686439e-14,-7.00741522e-13,0.00000000e+00,0.00000000e+00,2.39765120e-19,0.00000000e+00,6.27902130e-32,1.24788530e-21,1.24788530e-21,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.20000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,3.53429077e-09,3.38386244e-14,-7.10611112e-13,0.00000000e+00,0.00000000e+00,2.46566627e-19,0.00000000e+00,6.55264355e-32,1.28328453e-21,1.28328453e-21,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.30000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,3.58337812e-09,3.43086048e-14,-7.20480701e-13,0.00000000e+00,0.00000000e+00,2.53463261e-19,0.00000000e+00,6.80061657e-32,1.31917885e-21,1.31917885e-21,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.40000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,3.63246548e-09,3.47785852e-14,-7.30350290e-13,0.00000000e+00,0.00000000e+00,2.60455020e-19,0.00000000e+00,7.08083326e-32,1.35556827e-21,1.35556827e-21,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.50000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,3.68155283e-09,3.52485656e-14,-7.40219878e-13,0.00000000e+00,0.00000000e+00,2.67541905e-19,0.00000000e+00,7.36688241e-32,1.39245279e-21,1.39245279e-21,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.60000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,3.73064018e-09,3.57185460e-14,-7.50089466e-13,0.00000000e+00,0.00000000e+00,2.74723916e-19,0.00000000e+00,7.64841476e-32,1.42983239e-21,1.42983239e-21,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.70000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,3.77972753e-09,3.61885263e-14,-7.59959053e-13,0.00000000e+00,0.00000000e+00,2.82001052e-19,0.00000000e+00,7.94817578e-32,1.46770709e-21,1.46770709e-21,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.80000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,3.82881488e-09,3.66585067e-14,-7.69828640e-13,0.00000000e+00,0.00000000e+00,2.89373315e-19,0.00000000e+00,8.27842946e-32,1.50607689e-21,1.50607689e-21,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.90000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,3.87790223e-09,3.71284870e-14,-7.79698227e-13,0.00000000e+00,0.00000000e+00,2.96840703e-19,0.00000000e+00,8.60461219e-32,1.54494177e-21,1.54494177e-21,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
8.00000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,3.92698958e-09,3.75984673e-14,-7.89567813e-13,0.00000000e+00,0.00000000e+00,3.04403218e-19,0.00000000e+00,8.96618753e-32,1.58430175e-21,1.58430175e-21,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
8.10000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,3.97607693e-09,3.80684476e-14,-7.99437399e-13,0.00000000e+00,0.00000000e+00,3.12060858e-19,0.00000000e+00,9.22001534e-32,1.62415682e-21,1.62415682e-21,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
8.20000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.02516427e-09,3.85384278e-14,-8.09306985e-13,0.00000000e+00,0.00000000e+00,3.19813623e-19,0.00000000e+00,9.60056872e-32,1.66450699e-21,1.66450699e-21,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
8.30000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.07425162e-09,3.90084081e-14,-8.19176570e-13,0.00000000e+00,0.00000000e+00,3.27661515e-19,0.00000000e+00,9.95287731e-32,1.70535225e-21,1.70535225e-21,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
